From,To,Cost
0,20,32
21,100,32
101,250,42
251,500,52
501,1000,67
1001,1500,82
1501,2000,97
2001,2500,100
2501,3000,105
3001,3500,110
3501,4000,120
4001,4500,120
4501,5000,120
5001,5500,130
5501,6000,140
6001,6500,150
6501,7000,160
7001,7500,170
7501,8000,180
8001,8500,190
8501,9000,200
9001,9500,210
9501,10000,220
10001,11000,230
11001,12000,240
12001,13000,250
13001,14000,260
14001,15000,270
15001,16000,280
16001,17000,290
17001,18000,300
18001,19000,310
19001,20000,320
20001,21000,330
21001,22000,340
22001,23000,350
23001,24000,360
24001,25000,380
25001,26000,400
26001,27000,420
27001,28000,440
28001,29000,460
29001,30000,480
