provinceName,number,name,ref_เห็นชอบ_votes,total_referendum_votes,ref_เห็นชอบ_percent
กรุงเทพมหานคร,5,กรุงเทพมหานคร เขต 5,75322.0,105029.0,71.71543097620658
กรุงเทพมหานคร,9,กรุงเทพมหานคร เขต 9,72424.0,105500.0,68.64834123222748
กรุงเทพมหานคร,11,กรุงเทพมหานคร เขต 11,66624.0,97052.0,68.64773523471953
กรุงเทพมหานคร,12,กรุงเทพมหานคร เขต 12,72374.0,104355.0,69.3536486033252
กรุงเทพมหานคร,13,กรุงเทพมหานคร เขต 13,60621.0,89925.0,67.41284403669725
กรุงเทพมหานคร,15,กรุงเทพมหานคร เขต 15,61347.0,91351.0,67.15525828945495
กรุงเทพมหานคร,16,กรุงเทพมหานคร เขต 16,67765.0,97170.0,69.73860244931564
กรุงเทพมหานคร,20,กรุงเทพมหานคร เขต 20,70717.0,96808.0,73.04871498223288
กรุงเทพมหานคร,21,กรุงเทพมหานคร เขต 21,58816.0,87723.0,67.04741059927271
กรุงเทพมหานคร,22,กรุงเทพมหานคร เขต 22,63559.0,94063.0,67.5706707206872
กรุงเทพมหานคร,23,กรุงเทพมหานคร เขต 23,79200.0,112273.0,70.54233876354957
กรุงเทพมหานคร,26,กรุงเทพมหานคร เขต 26,62548.0,91743.0,68.17740863063122
กรุงเทพมหานคร,27,กรุงเทพมหานคร เขต 27,66490.0,95035.0,69.96369758510022
กรุงเทพมหานคร,28,กรุงเทพมหานคร เขต 28,51668.0,75797.0,68.16628626462789
กรุงเทพมหานคร,30,กรุงเทพมหานคร เขต 30,75340.0,107008.0,70.4059509569378
กรุงเทพมหานคร,33,กรุงเทพมหานคร เขต 33,61352.0,87809.0,69.86983111070619
สมุทรปราการ,2,สมุทรปราการ เขต 2,63993.0,91646.0,69.82628810859175
สมุทรปราการ,3,สมุทรปราการ เขต 3,61562.0,90919.0,67.71081952067225
สมุทรปราการ,4,สมุทรปราการ เขต 4,57361.0,82153.0,69.82216108967414
สมุทรปราการ,5,สมุทรปราการ เขต 5,71690.0,101039.0,70.95280040380447
สมุทรปราการ,7,สมุทรปราการ เขต 7,66648.0,96696.0,68.9252916356416
สมุทรปราการ,8,สมุทรปราการ เขต 8,75527.0,109966.0,68.68213811541749
นนทบุรี,4,นนทบุรี เขต 4,55586.0,82637.0,67.26526858429033
ปทุมธานี,2,ปทุมธานี เขต 2,66475.0,99083.0,67.0902172925729
ปทุมธานี,3,ปทุมธานี เขต 3,70346.0,96053.0,73.23665059914839
