provinceName,number,winner_name,winner_party_name,winner_percent,winner_votes,vote_margin_percent
อ่างทอง,1,ภราดร ปริศนานันทกุล,พรรคภูมิใจไทย,70.25,52703,4.728327931983671
อ่างทอง,2,กรวีร์ ปริศนานันทกุล,พรรคภูมิใจไทย,75.79,57385,11.647445306493328
สระแก้ว,2,ตรีนุช เทียนทอง,พรรคพลังประชารัฐ,70.36,56364,3.9466265739522655
นครราชสีมา,8,นิกร โสมกลาง,พรรคเพื่อไทย,67.95,48178,10.672030619229218
บุรีรัมย์,1,สนอง เทพอักษรณรงค์,พรรคภูมิใจไทย,75.56,53235,44.2732509367485
บุรีรัมย์,2,ณัฐธิดา เล็กอุดากร,พรรคภูมิใจไทย,71.81,54410,35.95594736568368
บุรีรัมย์,3,อดิพงษ์ ฐิติพิทยา,พรรคภูมิใจไทย,81.58,51914,49.47455795523955
บุรีรัมย์,4,ชนกันต์ ทิมาตฤกะ,พรรคภูมิใจไทย,74.02,49024,36.527102012920444
บุรีรัมย์,5,โสภณ ซารัมย์,พรรคภูมิใจไทย,70.07,50853,38.54285756707399
บุรีรัมย์,6,ศักดิ์ ซารัมย์,พรรคภูมิใจไทย,73.1,47010,42.91123135643883
บุรีรัมย์,8,ไตรเทพ งามกมล,พรรคภูมิใจไทย,67.93,49860,29.056223806672836
บุรีรัมย์,9,รุ่งโรจน์ ทองศรี,พรรคภูมิใจไทย,80.74,50073,39.34739735851312
บุรีรัมย์,10,จักรกฤษณ์ ทองศรี,พรรคภูมิใจไทย,78.89,47751,46.89075908136439
สุรินทร์,6,ล้ำเลิศ พัวพัฒนโชติ,พรรคภูมิใจไทย,67.37,48468,13.154005320721254
สุรินทร์,8,ปทิดา ตันติรัตนานนท์,พรรคภูมิใจไทย,69.26,49285,15.453875166605222
ศรีสะเกษ,3,ธนา กิจไพบูลย์ชัย,พรรคภูมิใจไทย,67.71,49781,3.6553053948700835
ศรีสะเกษ,8,อาสพลธ์ สรรณ์ไตรภพ,พรรคภูมิใจไทย,74.06,53218,14.655000994233447
อุบลราชธานี,10,สมศักดิ์ บุญประชม,พรรคไทรวมพลัง,77.07,59424,34.82398316086666
อุบลราชธานี,11,ตวงทิพย์ จินตะเวช,พรรคภูมิใจไทย,72.53,54260,1.697015407822434
ชัยภูมิ,2,เชิงชาย ชาลีรินทร์,พรรคเพื่อไทย,69.2,52437,6.3060327184863425
กาฬสินธุ์,6,ชนะวุธ อุทโท,พรรคเพื่อไทย,67.59,54428,26.93921545982985
นครพนม,1,ศุภพานี โพธิ์สุ,พรรคภูมิใจไทย,67.28,57294,9.012093836514644
แพร่,2,ชนาธิป ศุภศิริ,พรรคภูมิใจไทย,70.08,50300,14.643235231844166
พะเยา,1,อัครา พรหมเผ่า,พรรคกล้าธรรม,77.6,61641,39.590644005145045
พะเยา,3,จีรเดช ศรีวิราช,พรรคกล้าธรรม,70.98,55450,23.474884611923223
นครสวรรค์,4,มารุต ศรีผึ้ง,พรรคภูมิใจไทย,69.91,51575,2.2862318343373893
นครสวรรค์,5,พีระเดช ศิริวันสาณฑ์,พรรคภูมิใจไทย,73.6,56499,6.147912885662432
อุทัยธานี,1,เจเศรษฐ์ ไทยเศรษฐ์,พรรคภูมิใจไทย,73.27,50705,15.064284096057996
อุทัยธานี,2,ชาดา ไทยเศรษฐ์,พรรคภูมิใจไทย,71.91,50967,21.336547014432874
สุโขทัย,3,ประภาพร ทองปากน้ำ,พรรคเพื่อไทย,68.07,44192,1.0583380285979693
เพชรบูรณ์,4,วรโชติ สุคนธ์ขจร,พรรคภูมิใจไทย,71.09,44994,18.414990769632908
เพชรบูรณ์,6,อัคร ทองใจสด,พรรคภูมิใจไทย,72.65,58578,7.917881130401721
สุพรรณบุรี,1,สรชัด สุจิตต์,พรรคภูมิใจไทย,68.35,59148,11.363186397251496
เพชรบุรี,1,ธิวัลรัตน์ อังกินันทน์,พรรคภูมิใจไทย,70.73,58584,4.965381523212979
เพชรบุรี,2,ฤกษ์ อยู่ดี,พรรคภูมิใจไทย,71.37,63365,10.255597922630432
เพชรบุรี,3,อภิชาติ แก้วโกศล,พรรคภูมิใจไทย,75.72,67129,3.1253609295234597
ระนอง,1,คงกฤษ ฉัตรมาลีรัตน์,พรรคภูมิใจไทย,71.07,56553,0.8452130101590392
