label,precision,recall,f1-score,support
0,0.9496544916090819,0.9816326530612245,0.9653788258906171,980.0
1,0.9710780017528484,0.9762114537444934,0.9736379613356766,1135.0
2,0.926,0.8972868217054264,0.9114173228346457,1032.0
3,0.9091796875,0.9217821782178218,0.9154375614552607,1010.0
4,0.9138613861386139,0.939918533604888,0.9267068273092369,982.0
5,0.9305064782096584,0.8856502242152466,0.9075244112578977,892.0
6,0.9380165289256198,0.9478079331941545,0.9428868120456905,958.0
7,0.9383697813121272,0.9182879377431906,0.928220255653884,1028.0
8,0.8858585858585859,0.9004106776180698,0.8930753564154786,974.0
9,0.9109109109109109,0.9018830525272548,0.9063745019920318,1009.0
macro avg,0.9273435852217446,0.9270871465631771,0.9270659836190418,10000.0
weighted avg,0.9279361419527501,0.9279000000000001,0.9277746087394282,10000.0
accuracy,,,0.9279,10000.0
