label,precision,recall,f1-score,support
0,0.941871921182266,0.9755102040816327,0.9583959899749374,980.0
1,0.9627059843885516,0.9779735682819384,0.9702797202797202,1135.0
2,0.915,0.8866279069767442,0.9005905511811024,1032.0
3,0.8949950932286556,0.902970297029703,0.8989650073928043,1010.0
4,0.901980198019802,0.9276985743380856,0.9146586345381527,982.0
5,0.9064748201438849,0.8475336322869955,0.8760139049826188,892.0
6,0.9226069246435845,0.9457202505219207,0.934020618556701,958.0
7,0.9285714285714286,0.9105058365758755,0.9194499017681729,1028.0
8,0.8664658634538153,0.8860369609856262,0.8761421319796955,974.0
9,0.9043743641912513,0.8810703666997026,0.8925702811244979,1009.0
macro avg,0.9145046597823241,0.9141647597778224,0.9141086741778401,10000.0
weighted avg,0.9153131260077331,0.9154,0.9151410943137356,10000.0
accuracy,,,0.9154,10000.0
