label,precision,recall,f1-score,support
0,0.9495548961424333,0.9795918367346939,0.9643395278754394,980.0
1,0.9729020979020979,0.9806167400881057,0.9767441860465116,1135.0
2,0.9269269269269269,0.8972868217054264,0.9118660758247169,1032.0
3,0.9095330739299611,0.9257425742574258,0.9175662414131501,1010.0
4,0.9048086359175662,0.9389002036659878,0.9215392303848076,982.0
5,0.9246171967020024,0.8800448430493274,0.9017805858701896,892.0
6,0.9398963730569948,0.9467640918580376,0.9433177327093084,958.0
7,0.9363817097415507,0.9163424124513618,0.9262536873156342,1028.0
8,0.8980632008154944,0.9045174537987679,0.9012787723785166,974.0
9,0.9098196392785571,0.8999008919722498,0.9048330842052815,1009.0
macro avg,0.9272503750413585,0.9269707869581383,0.9269519124023555,10000.0
weighted avg,0.927904798915482,0.9279000000000001,0.9277494174148995,10000.0
accuracy,,,0.9279,10000.0
